run_signature,pulse_type,noise_case,scattering_model,nbar,gate_time_s,F_avg,infidelity,p_err,p_weight1,p_weight2,offdiag_ratio,error_offdiag_ratio,exact_pauli_distance,alpha_final_abs,alpha_max_abs,alpha2_integral,entangling_angle_error,integrated_omega2,choi_min_eigenvalue,tp_error,hp_error,standard_infidelity,delta_infidelity,improvement_factor
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,smooth_detuning,heating_only,constant_rate,0.01,0.0002258,0.9998628219803525,0.0001371780196475214,0.00017152329169789482,9.436419995804942e-05,7.715909173982305e-05,0.7069995317181598,6.673276591966897e-05,0.012207055035953884,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-9.106671464017211e-07,1.5620428166562256e-15,3.360899205802798e-15,0.000638735411835567,-0.0005015573921880456,4.656251879687403
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,smooth_detuning,heating_only,constant_rate,1.0,0.0002258,0.9990925560519821,0.0009074439480178942,0.001134325706927064,9.260721185491416e-05,0.0010417184950720715,0.7059655364686294,6.554045298599579e-05,0.03379308813886141,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-4.5637396538373376e-07,2.62390164592741e-15,2.2959188769097366e-15,0.0016840574400689423,-0.0007766134920510481,1.8558253033119945
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,smooth_detuning,heating_only,constant_rate,2.0,0.0002258,0.9976158236154363,0.0023841763845636743,0.002980234593320308,9.088311148400206e-05,0.0028893514818363274,0.7039820584524483,6.439962621604803e-05,0.05513932637082394,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-5.181704019079043e-07,3.750810919138446e-15,1.64660637938344e-15,0.003400158128527009,-0.0010159817439633345,1.4261353105169978
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,smooth_detuning,heating_only,constant_rate,3.0,0.0002258,0.995504379828011,0.004495620171989012,0.005619558687992576,8.920603859758617e-05,0.005530352649394993,0.7011315919528419,6.329296615388716e-05,0.07596332975376309,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-4.2824800665533283e-07,3.951693326180145e-15,2.169548587226409e-15,0.005716741394186542,-0.0012211212221975298,1.2716246425367526
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,smooth_detuning,heating_only,constant_rate,4.0,0.0002258,0.9928155364024771,0.007184463597522894,0.008980619085676711,8.753265935244157e-05,0.00889308642632427,0.6974820668249966,6.224257444242928e-05,0.0962185171331515,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-4.172255215643007e-07,5.2206884580898225e-15,2.8476724076263163e-15,0.008579923129078848,-0.0013954595315559537,1.194232946219825
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,0.0001,0.9993612645881644,0.000638735411835567,0.0007984619508603075,0.0006068669668538146,0.0001915949840066046,0.706837710356259,0.0004293768613600469,0.019444576392308517,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-1.07138576349356e-07,1.6934899560204332e-15,2.1775318912150128e-15,0.000638735411835567,0.0,1.0
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,0.0001,0.9983159425599311,0.0016840574400689423,0.0021050954186976334,0.0008143191110291249,0.001290776307668499,0.7056049549911234,0.0005765417326217728,0.040762579452470096,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-1.7199309286672603e-07,2.1794713205350907e-15,1.6764143470935832e-15,0.0016840574400689423,0.0,1.0
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,2.0,0.0001,0.996599841871473,0.003400158128527009,0.0042502480488789685,0.0010034588398287099,0.003246789209050241,0.7034492539143352,0.0007112189423995541,0.06183476354412431,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-3.314685429202004e-07,2.7276393535473115e-15,1.1748557533775051e-15,0.003400158128527009,0.0,1.0
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,3.0,0.0001,0.9942832586058135,0.005716741394186542,0.007145974864892657,0.001169567048021351,0.005976407816871319,0.7004488595256887,0.0008301193676789981,0.08239048361672535,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-4.924688831038769e-07,2.8483947737103813e-15,1.1548476930175531e-15,0.005716741394186542,0.0,1.0
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,4.0,0.0001,0.9914200768709212,0.008579923129078848,0.010724937391839218,0.0013194984310339257,0.009405438960805338,0.6966730757939165,0.0009381338694417549,0.10238207106601635,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-2.558833555808511e-07,3.638148245030167e-15,1.1159882680538876e-15,0.008579923129078848,0.0,1.0
