run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,IX,5.996090102277736e-05
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,IY,-2.781981909848873e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,IZ,2.4484786143030846e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,XI,5.996692321522035e-05
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,XX,0.00019106104501928893
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,XY,-2.519033016901151e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,XZ,2.852537021767576e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,YI,3.0127600094490014e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,YX,-2.806548001703206e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,YY,-1.8034710495828943e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,YZ,2.634578388007636e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,ZI,2.771715419680465e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,ZX,-2.977926746621835e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,ZY,-2.96843485668771e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,0.01,ZZ,2.1373266906321575e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,IX,0.00016859225921926632
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,IY,-4.755955443551279e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,IZ,-7.268949955840929e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,XI,0.00016859951990390366
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,XX,0.0012901878554202604
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,XY,1.1274456038906642e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,XZ,4.3554047716935196e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,YI,3.170061181213332e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,YX,6.954721209736016e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,YY,5.376948313678963e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,YZ,4.400475973780881e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,ZI,-6.513642403227492e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,ZX,-3.2141690888777593e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,ZY,-3.834429874210979e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,1.0,ZZ,-1.1037408140235348e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,IX,0.00026796860076815527
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,IY,-5.968725228385046e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,IZ,4.7026323876653295e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,XI,0.00026797305618127916
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,XX,0.003246456432158526
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,XY,-1.6947829684782482e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,XZ,2.9608753531893065e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,YI,5.835797848584876e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,YX,-4.9877313362377976e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,YY,-7.73555717224761e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,YZ,2.858817897190438e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,ZI,4.807008159579685e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,ZX,-4.028569833173862e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,ZY,-2.60180632863499e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,2.0,ZZ,7.47854573407425e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,IX,0.00035567990747748933
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,IY,6.098694773748036e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,IZ,-5.865773172741839e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,XI,0.00035567707765814195
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,XX,0.005976694987014652
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,XY,3.0331612187184387e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,XZ,2.2227423502983864e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,YI,-5.539357847708594e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,YX,1.1615186286742518e-10
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,YY,1.426872213092234e-08
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,YZ,-2.0498839715103094e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,ZI,-1.5774659634093524e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,ZX,7.000672190095368e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,ZY,6.047453845960289e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,3.0,ZZ,-1.8266292436952547e-08
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,4.0,IX,0.00043516612238781745
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,4.0,IY,7.76280627836311e-09
c044b919c2905bb4032420335c354d2cc25234b1c613989f74f392ad3bfe351f,standard,none,constant_rate,4.0,IZ,7.281304802153609e-09
