run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,IX,8.491615907471335e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,IY,4.911902839786962e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,IZ,0.00011326723089306878
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,XI,8.49221273881626e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,XX,0.00019096525214580475
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,XY,0.00011327768261274601
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,XZ,4.912489960715124e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,YI,4.912518151886057e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,YX,0.00011327748066297585
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,YY,3.283948346588178e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,YZ,2.305871933212745e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,ZI,0.00011326729442429073
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,ZX,4.911888490543634e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,ZY,1.6859210070363927e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,0.01,ZZ,3.2798956994817274e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,IX,0.0001934718542664093
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,IY,6.411559939081134e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,IZ,9.826870306038629e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,XI,0.00019347535309099785
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,XX,0.001289323340103529
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,XY,9.82832800431252e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,XZ,6.412125901803215e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,YI,6.411875507782616e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,YX,9.828339809483442e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,YY,3.347447506335598e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,YZ,2.5311245693163936e-08
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,ZI,9.826892799093964e-05
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,standard,photon_scattering_only,constant_rate,1.0,ZX,6.411776034783729e-05
