run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,IX,5.99477742135651e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,IY,2.2204774361693308e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,IZ,6.109893763867058e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,XI,5.994759727178884e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,XX,0.00019100879369161457
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,XY,6.110186681149155e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,XZ,2.220554464230086e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,YI,2.2205028839157657e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,YX,6.110165284738394e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,YY,9.669486218664674e-09
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,YZ,5.115744754962691e-09
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,ZI,6.109912877628326e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,ZX,2.2205312991549252e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,ZY,4.452674762747851e-09
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,ZZ,8.530615894231097e-09
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,IX,0.0001685420152082312
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,IY,3.1294161356193464e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,IZ,5.2013202640810434e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,XI,0.0001685476624096411
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,XX,0.0012897571104930443
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,XY,5.2002115713408244e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,XZ,3.1301643744057346e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,YI,3.1298829541880694e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,YX,5.200260965612321e-05
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,YY,4.961454042745617e-10
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,YZ,8.442755725650561e-09
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,ZI,5.201378439496223e-05
